Name,Dataset,LogFC
MEKK2 (MAP3K2),Lewis_2017_L5,0.21
MEKK2 (MAP3K2),Lewis_2015_L5,-0.09
MEKK2 (MAP3K2),Deep_Neurons,-0.02
MEKK2 (MAP3K2),Superficial_Neurons,-0.02
MEKK2 (MAP3K2),Superficial_Deep_Neurons,-0.04
MEKK2 (MAP3K2),MtSinaiDLPFC,-0.28
MEKK2 (MAP3K2),Iwamoto_BA46_SCZ,0.08
MEKK3 (MAP3K3),Lewis_2017_L5,-0.01
MEKK3 (MAP3K3),Lewis_2015_L5,0.05
MEKK3 (MAP3K3),Deep_Neurons,-0.01
MEKK3 (MAP3K3),Superficial_Neurons,-0.02
MEKK3 (MAP3K3),Superficial_Deep_Neurons,-0.03
MEKK3 (MAP3K3),MtSinaiDLPFC,0.27
MEKK3 (MAP3K3),Iwamoto_BA46_SCZ,0.01
TPL2 (MAP3K8),Lewis_2017_L5,0.02
TPL2 (MAP3K8),Lewis_2015_L5,0.12
TPL2 (MAP3K8),Deep_Neurons,0.11
TPL2 (MAP3K8),Superficial_Neurons,0.12
TPL2 (MAP3K8),Superficial_Deep_Neurons,0.23
TPL2 (MAP3K8),MtSinaiDLPFC,NA
TPL2 (MAP3K8),Iwamoto_BA46_SCZ,-0.09
MEKK1 (MAP3K1),Lewis_2017_L5,0.14
MEKK1 (MAP3K1),Lewis_2015_L5,0.17
MEKK1 (MAP3K1),Deep_Neurons,0.03
MEKK1 (MAP3K1),Superficial_Neurons,0.05
MEKK1 (MAP3K1),Superficial_Deep_Neurons,0.08
MEKK1 (MAP3K1),MtSinaiDLPFC,0.15
MEKK1 (MAP3K1),Iwamoto_BA46_SCZ,-0.25
DLK (MAP3K12),Lewis_2017_L5,-0.18
DLK (MAP3K12),Lewis_2015_L5,0.56
DLK (MAP3K12),Deep_Neurons,0.05
DLK (MAP3K12),Superficial_Neurons,0.05
DLK (MAP3K12),Superficial_Deep_Neurons,0.11
DLK (MAP3K12),MtSinaiDLPFC,-0.23
DLK (MAP3K12),Iwamoto_BA46_SCZ,0.05
MLK2 (MAP3K10),Lewis_2017_L5,0.02
MLK2 (MAP3K10),Lewis_2015_L5,0.07
MLK2 (MAP3K10),Deep_Neurons,0.06
MLK2 (MAP3K10),Superficial_Neurons,0.07
MLK2 (MAP3K10),Superficial_Deep_Neurons,0.13
MLK2 (MAP3K10),MtSinaiDLPFC,NA
MLK2 (MAP3K10),Iwamoto_BA46_SCZ,-0.23
ASK1 (MAP3K5),Lewis_2017_L5,0.03
ASK1 (MAP3K5),Lewis_2015_L5,0.05
ASK1 (MAP3K5),Deep_Neurons,0.05
ASK1 (MAP3K5),Superficial_Neurons,0.06
ASK1 (MAP3K5),Superficial_Deep_Neurons,0.1
ASK1 (MAP3K5),MtSinaiDLPFC,0.04
ASK1 (MAP3K5),Iwamoto_BA46_SCZ,0.05
TAK1 (MAP3K7),Lewis_2017_L5,-0.06
TAK1 (MAP3K7),Lewis_2015_L5,-0.02
TAK1 (MAP3K7),Deep_Neurons,-0.05
TAK1 (MAP3K7),Superficial_Neurons,-0.06
TAK1 (MAP3K7),Superficial_Deep_Neurons,-0.11
TAK1 (MAP3K7),MtSinaiDLPFC,-0.06
TAK1 (MAP3K7),Iwamoto_BA46_SCZ,-0.05
TAO1 (TAOK1),Lewis_2017_L5,0.07
TAO1 (TAOK1),Lewis_2015_L5,-0.19
TAO1 (TAOK1),Deep_Neurons,0.07
TAO1 (TAOK1),Superficial_Neurons,0.07
TAO1 (TAOK1),Superficial_Deep_Neurons,0.14
TAO1 (TAOK1),MtSinaiDLPFC,0.17
TAO1 (TAOK1),Iwamoto_BA46_SCZ,0.07
TAO2 (TAOK2),Lewis_2017_L5,0.22
TAO2 (TAOK2),Lewis_2015_L5,0.02
TAO2 (TAOK2),Deep_Neurons,-0.08
TAO2 (TAOK2),Superficial_Neurons,-0.08
TAO2 (TAOK2),Superficial_Deep_Neurons,-0.16
TAO2 (TAOK2),MtSinaiDLPFC,-0.18
TAO2 (TAOK2),Iwamoto_BA46_SCZ,-0.07
MEK4 (MAP2K4),Lewis_2017_L5,-0.16
MEK4 (MAP2K4),Lewis_2015_L5,0.09
MEK4 (MAP2K4),Deep_Neurons,-0.03
MEK4 (MAP2K4),Superficial_Neurons,-0.05
MEK4 (MAP2K4),Superficial_Deep_Neurons,-0.08
MEK4 (MAP2K4),MtSinaiDLPFC,-0.09
MEK4 (MAP2K4),Iwamoto_BA46_SCZ,-0.2
MEK7 (MAP2K7),Lewis_2017_L5,-0.06
MEK7 (MAP2K7),Lewis_2015_L5,0.08
MEK7 (MAP2K7),Deep_Neurons,-0.04
MEK7 (MAP2K7),Superficial_Neurons,-0.04
MEK7 (MAP2K7),Superficial_Deep_Neurons,-0.08
MEK7 (MAP2K7),MtSinaiDLPFC,-0.1
MEK7 (MAP2K7),Iwamoto_BA46_SCZ,0.1
JNK1 (MAPK8),Lewis_2017_L5,0.02
JNK1 (MAPK8),Lewis_2015_L5,-0.26
JNK1 (MAPK8),Deep_Neurons,0.06
JNK1 (MAPK8),Superficial_Neurons,-0.06
JNK1 (MAPK8),Superficial_Deep_Neurons,0.12
JNK1 (MAPK8),MtSinaiDLPFC,0.12
JNK1 (MAPK8),Iwamoto_BA46_SCZ,-0.17
JNK2 (MAPK9),Lewis_2017_L5,-0.07
JNK2 (MAPK9),Lewis_2015_L5,-0.19
JNK2 (MAPK9),Deep_Neurons,0.1
JNK2 (MAPK9),Superficial_Neurons,0.1
JNK2 (MAPK9),Superficial_Deep_Neurons,0.2
JNK2 (MAPK9),MtSinaiDLPFC,-0.14
JNK2 (MAPK9),Iwamoto_BA46_SCZ,-0.07
JNK3 (MAPK10),Lewis_2017_L5,0.22
JNK3 (MAPK10),Lewis_2015_L5,-0.04
JNK3 (MAPK10),Deep_Neurons,NA
JNK3 (MAPK10),Superficial_Neurons,NA
JNK3 (MAPK10),Superficial_Deep_Neurons,NA
JNK3 (MAPK10),MtSinaiDLPFC,-0.17
JNK3 (MAPK10),Iwamoto_BA46_SCZ,0.03
